original_cell_type	stripped_cell_type	ontology_term_id	ontology_term_name	final
Adrenal-Chromaffin cells-10	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-10	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-2	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-2	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-3	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-3	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-4	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-4	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-5	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-5	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-6	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-6	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-7	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-7	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-8	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-8	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-9	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-9	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-CSH1_CSH2 positive cells-1	CSH1_CSH2 positive	CSH1_CSH2 positive	CSH1_CSH2 positive	True
Adrenal-Erythroblasts-1	Erythroblasts	CL:0000765	Erythroblasts	True
Adrenal-Erythroblasts-2	Erythroblasts	CL:0000765	Erythroblasts	True
Adrenal-Erythroblasts-3	Erythroblasts	CL:0000765	Erythroblasts	True
Adrenal-Erythroblasts-4	Erythroblasts	CL:0000765	Erythroblasts	True
Adrenal-Lymphoid cells-1	Lymphoid	CL:0001027	CD7-negative lymphoid progenitor cell	False
Adrenal-Lymphoid cells-1	Lymphoid	CL:0001028	CD7-positive lymphoid progenitor cell	False
Adrenal-Lymphoid cells-1	Lymphoid	CL:0000936	early lymphoid progenitor	False
Adrenal-Lymphoid cells-1	Lymphoid	CL:0001082	immature innate lymphoid cell	False
Adrenal-Lymphoid cells-1	Lymphoid	CL:0001065	innate lymphoid cell	True
Adrenal-Lymphoid cells-1	Lymphoid	CL:0000838	lymphoid lineage restricted progenitor cell	False
Adrenal-Lymphoid cells-1	Lymphoid	CL:0002474	lymphoid MHC-II-negative classical monocyte	False
Adrenal-Lymphoid cells-1	Lymphoid	CL:0002475	lymphoid MHC-II-negative non-classical monocyte	False
Adrenal-Lymphoid cells-1	Lymphoid	CL:0011018	lymphoid tissue–inducer cell	False
Adrenal-Lymphoid cells-1	Lymphoid	CL:0000784	plasmacytoid dendritic cell	False
Adrenal-Megakaryocytes-1	Megakaryocytes	CL:0000556	Megakaryocytes	True
Adrenal-Myeloid cells-1	Myeloid	CL:0002394	CD141-positive myeloid dendritic cell	False
Adrenal-Myeloid cells-1	Myeloid	CL:0002399	CD1c-positive myeloid dendritic cell	False
Adrenal-Myeloid cells-1	Myeloid	CL:0000049	common myeloid progenitor	False
Adrenal-Myeloid cells-1	Myeloid	CL:0001059	common myeloid progenitor, CD34-positive	False
Adrenal-Myeloid cells-1	Myeloid	CL:0000763	myeloid cell	True
Adrenal-Myeloid cells-1	Myeloid	CL:0000782	myeloid dendritic cell	False
Adrenal-Myeloid cells-1	Myeloid	CL:0001057	myeloid dendritic cell, human	False
Adrenal-Myeloid cells-1	Myeloid	CL:0000766	myeloid leukocyte	False
Adrenal-Myeloid cells-1	Myeloid	CL:0000839	myeloid lineage restricted progenitor cell	False
Adrenal-Myeloid cells-1	Myeloid	CL:0000889	myeloid suppressor cell	False
Adrenal-Myeloid cells-2	Myeloid	CL:0002394	CD141-positive myeloid dendritic cell	False
Adrenal-Myeloid cells-2	Myeloid	CL:0002399	CD1c-positive myeloid dendritic cell	False
Adrenal-Myeloid cells-2	Myeloid	CL:0000049	common myeloid progenitor	False
Adrenal-Myeloid cells-2	Myeloid	CL:0001059	common myeloid progenitor, CD34-positive	False
Adrenal-Myeloid cells-2	Myeloid	CL:0000763	myeloid cell	True
Adrenal-Myeloid cells-2	Myeloid	CL:0000782	myeloid dendritic cell	False
Adrenal-Myeloid cells-2	Myeloid	CL:0001057	myeloid dendritic cell, human	False
Adrenal-Myeloid cells-2	Myeloid	CL:0000766	myeloid leukocyte	False
Adrenal-Myeloid cells-2	Myeloid	CL:0000839	myeloid lineage restricted progenitor cell	False
Adrenal-Myeloid cells-2	Myeloid	CL:0000889	myeloid suppressor cell	False
Adrenal-Myeloid cells-3	Myeloid	CL:0002394	CD141-positive myeloid dendritic cell	False
Adrenal-Myeloid cells-3	Myeloid	CL:0002399	CD1c-positive myeloid dendritic cell	False
Adrenal-Myeloid cells-3	Myeloid	CL:0000049	common myeloid progenitor	False
Adrenal-Myeloid cells-3	Myeloid	CL:0001059	common myeloid progenitor, CD34-positive	False
Adrenal-Myeloid cells-3	Myeloid	CL:0000763	myeloid cell	True
Adrenal-Myeloid cells-3	Myeloid	CL:0000782	myeloid dendritic cell	False
Adrenal-Myeloid cells-3	Myeloid	CL:0001057	myeloid dendritic cell, human	False
Adrenal-Myeloid cells-3	Myeloid	CL:0000766	myeloid leukocyte	False
Adrenal-Myeloid cells-3	Myeloid	CL:0000839	myeloid lineage restricted progenitor cell	False
Adrenal-Myeloid cells-3	Myeloid	CL:0000889	myeloid suppressor cell	False
Adrenal-Schwann cells-1	Schwann	CL:0002377	immature Schwann cell	False
Adrenal-Schwann cells-1	Schwann	CL:0000218	myelinating Schwann cell	False
Adrenal-Schwann cells-1	Schwann	CL:0002376	non-myelinating Schwann cell	False
Adrenal-Schwann cells-1	Schwann	CL:0002573	Schwann cell	True
Adrenal-Schwann cells-1	Schwann	CL:0002375	Schwann cell precursor	False
Adrenal-Schwann cells-1	Schwann	CL:0000692	terminal Schwann cell	False
Adrenal-SLC26A4_PAEP positive cells-1	SLC26A4_PAEP positive	SLC26A4_PAEP positive	SLC26A4_PAEP positive	True
Adrenal-Stromal cells-1	Stromal	CL:2000002	decidual cell	False
Adrenal-Stromal cells-1	Stromal	CL:2000061	placental amniotic mesenchymal stromal cell	False
Adrenal-Stromal cells-1	Stromal	CL:0002622	prostate stromal cell	False
Adrenal-Stromal cells-1	Stromal	CL:0000499	stromal cell	True
Adrenal-Stromal cells-1	Stromal	CL:0010001	stromal cell of bone marrow	False
Adrenal-Stromal cells-1	Stromal	CL:0002255	stromal cell of endometrium	False
Adrenal-Stromal cells-1	Stromal	CL:0002133	stromal cell of ovarian cortex	False
Adrenal-Stromal cells-1	Stromal	CL:0002134	stromal cell of ovarian medulla	False
Adrenal-Stromal cells-1	Stromal	CL:0002132	stromal cell of ovary	False
Adrenal-Stromal cells-1	Stromal	CL:0002574	stromal cell of pancreas	False
Adrenal-Stromal cells-2	Stromal	CL:2000002	decidual cell	False
Adrenal-Stromal cells-2	Stromal	CL:2000061	placental amniotic mesenchymal stromal cell	False
Adrenal-Stromal cells-2	Stromal	CL:0002622	prostate stromal cell	False
Adrenal-Stromal cells-2	Stromal	CL:0000499	stromal cell	True
Adrenal-Stromal cells-2	Stromal	CL:0010001	stromal cell of bone marrow	False
Adrenal-Stromal cells-2	Stromal	CL:0002255	stromal cell of endometrium	False
Adrenal-Stromal cells-2	Stromal	CL:0002133	stromal cell of ovarian cortex	False
Adrenal-Stromal cells-2	Stromal	CL:0002134	stromal cell of ovarian medulla	False
Adrenal-Stromal cells-2	Stromal	CL:0002132	stromal cell of ovary	False
Adrenal-Stromal cells-2	Stromal	CL:0002574	stromal cell of pancreas	False
Adrenal-Stromal cells-3	Stromal	CL:2000002	decidual cell	False
Adrenal-Stromal cells-3	Stromal	CL:2000061	placental amniotic mesenchymal stromal cell	False
Adrenal-Stromal cells-3	Stromal	CL:0002622	prostate stromal cell	False
Adrenal-Stromal cells-3	Stromal	CL:0000499	stromal cell	True
Adrenal-Stromal cells-3	Stromal	CL:0010001	stromal cell of bone marrow	False
Adrenal-Stromal cells-3	Stromal	CL:0002255	stromal cell of endometrium	False
Adrenal-Stromal cells-3	Stromal	CL:0002133	stromal cell of ovarian cortex	False
Adrenal-Stromal cells-3	Stromal	CL:0002134	stromal cell of ovarian medulla	False
Adrenal-Stromal cells-3	Stromal	CL:0002132	stromal cell of ovary	False
Adrenal-Stromal cells-3	Stromal	CL:0002574	stromal cell of pancreas	False
Adrenal-Stromal cells-4	Stromal	CL:2000002	decidual cell	False
Adrenal-Stromal cells-4	Stromal	CL:2000061	placental amniotic mesenchymal stromal cell	False
Adrenal-Stromal cells-4	Stromal	CL:0002622	prostate stromal cell	False
Adrenal-Stromal cells-4	Stromal	CL:0000499	stromal cell	True
Adrenal-Stromal cells-4	Stromal	CL:0010001	stromal cell of bone marrow	False
Adrenal-Stromal cells-4	Stromal	CL:0002255	stromal cell of endometrium	False
Adrenal-Stromal cells-4	Stromal	CL:0002133	stromal cell of ovarian cortex	False
Adrenal-Stromal cells-4	Stromal	CL:0002134	stromal cell of ovarian medulla	False
Adrenal-Stromal cells-4	Stromal	CL:0002132	stromal cell of ovary	False
Adrenal-Stromal cells-4	Stromal	CL:0002574	stromal cell of pancreas	False
Adrenal-Stromal cells-5	Stromal	CL:2000002	decidual cell	False
Adrenal-Stromal cells-5	Stromal	CL:2000061	placental amniotic mesenchymal stromal cell	False
Adrenal-Stromal cells-5	Stromal	CL:0002622	prostate stromal cell	False
Adrenal-Stromal cells-5	Stromal	CL:0000499	stromal cell	True
Adrenal-Stromal cells-5	Stromal	CL:0010001	stromal cell of bone marrow	False
Adrenal-Stromal cells-5	Stromal	CL:0002255	stromal cell of endometrium	False
Adrenal-Stromal cells-5	Stromal	CL:0002133	stromal cell of ovarian cortex	False
Adrenal-Stromal cells-5	Stromal	CL:0002134	stromal cell of ovarian medulla	False
Adrenal-Stromal cells-5	Stromal	CL:0002132	stromal cell of ovary	False
Adrenal-Stromal cells-5	Stromal	CL:0002574	stromal cell of pancreas	False
Adrenal-Stromal cells-6	Stromal	CL:2000002	decidual cell	False
Adrenal-Stromal cells-6	Stromal	CL:2000061	placental amniotic mesenchymal stromal cell	False
Adrenal-Stromal cells-6	Stromal	CL:0002622	prostate stromal cell	False
Adrenal-Stromal cells-6	Stromal	CL:0000499	stromal cell	True
Adrenal-Stromal cells-6	Stromal	CL:0010001	stromal cell of bone marrow	False
Adrenal-Stromal cells-6	Stromal	CL:0002255	stromal cell of endometrium	False
Adrenal-Stromal cells-6	Stromal	CL:0002133	stromal cell of ovarian cortex	False
Adrenal-Stromal cells-6	Stromal	CL:0002134	stromal cell of ovarian medulla	False
Adrenal-Stromal cells-6	Stromal	CL:0002132	stromal cell of ovary	False
Adrenal-Stromal cells-6	Stromal	CL:0002574	stromal cell of pancreas	False
Adrenal-Stromal cells-7	Stromal	CL:2000002	decidual cell	False
Adrenal-Stromal cells-7	Stromal	CL:2000061	placental amniotic mesenchymal stromal cell	False
Adrenal-Stromal cells-7	Stromal	CL:0002622	prostate stromal cell	False
Adrenal-Stromal cells-7	Stromal	CL:0000499	stromal cell	True
Adrenal-Stromal cells-7	Stromal	CL:0010001	stromal cell of bone marrow	False
Adrenal-Stromal cells-7	Stromal	CL:0002255	stromal cell of endometrium	False
Adrenal-Stromal cells-7	Stromal	CL:0002133	stromal cell of ovarian cortex	False
Adrenal-Stromal cells-7	Stromal	CL:0002134	stromal cell of ovarian medulla	False
Adrenal-Stromal cells-7	Stromal	CL:0002132	stromal cell of ovary	False
Adrenal-Stromal cells-7	Stromal	CL:0002574	stromal cell of pancreas	False
Adrenal-Sympathoblasts-1	Sympathoblasts	Sympathoblasts	Sympathoblasts	True
Adrenal-Sympathoblasts-2	Sympathoblasts	Sympathoblasts	Sympathoblasts	True
Adrenal-Sympathoblasts-3	Sympathoblasts	Sympathoblasts	Sympathoblasts	True
Adrenal-Sympathoblasts-4	Sympathoblasts	Sympathoblasts	Sympathoblasts	True
Adrenal-Sympathoblasts-5	Sympathoblasts	Sympathoblasts	Sympathoblasts	True
Adrenal-Sympathoblasts-6	Sympathoblasts	Sympathoblasts	Sympathoblasts	True
Adrenal-Vascular endothelial cells-1	Vascular endothelial	CL:0000071	blood vessel endothelial cell	False
Adrenal-Vascular endothelial cells-1	Vascular endothelial	CL:0002139	endothelial cell of vascular tree	True
Adrenal-Vascular endothelial cells-2	Vascular endothelial	CL:0000071	blood vessel endothelial cell	False
Adrenal-Vascular endothelial cells-2	Vascular endothelial	CL:0002139	endothelial cell of vascular tree	True
Adrenal-Vascular endothelial cells-3	Vascular endothelial	CL:0000071	blood vessel endothelial cell	True
Adrenal-Vascular endothelial cells-3	Vascular endothelial	CL:0002139	endothelial cell of vascular tree	False
Adrenal-Vascular endothelial cells-4	Vascular endothelial	CL:0000071	blood vessel endothelial cell	False
Adrenal-Vascular endothelial cells-4	Vascular endothelial	CL:0002139	endothelial cell of vascular tree	True
Adrenal-Vascular endothelial cells-5	Vascular endothelial	CL:0000071	blood vessel endothelial cell	False
Adrenal-Vascular endothelial cells-5	Vascular endothelial	CL:0002139	endothelial cell of vascular tree	True
Adrenal-Vascular endothelial cells-6	Vascular endothelial	CL:0000071	blood vessel endothelial cell	False
Adrenal-Vascular endothelial cells-6	Vascular endothelial	CL:0002139	endothelial cell of vascular tree	True
Cerebellum-Astrocytes-1	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-10	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-2	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-3	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-4	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-5	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-6	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-7	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-8	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Astrocytes-9	Astrocytes	CL:0000127	Astrocytes	True
Cerebellum-Granule neurons-1	Granule neurons	CL:0000120	Granule neurons	True
Cerebellum-Granule neurons-2	Granule neurons	CL:0000121	Granule neurons	True
Cerebellum-Granule neurons-3	Granule neurons	CL:0000122	Granule neurons	True
Cerebellum-Granule neurons-4	Granule neurons	CL:0000123	Granule neurons	True
Cerebellum-Granule neurons-5	Granule neurons	CL:0000124	Granule neurons	True
Cerebellum-Granule neurons-6	Granule neurons	CL:0000125	Granule neurons	True
Cerebellum-Granule neurons-7	Granule neurons	CL:0000126	Granule neurons	True
Cerebellum-Granule neurons-8	Granule neurons	CL:0000127	Granule neurons	True
Cerebellum-Inhibitory interneurons-1	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-10	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-11	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-12	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-2	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-3	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-4	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-5	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-6	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-7	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-8	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Inhibitory interneurons-9	Inhibitory interneurons	CL:0000498	Inhibitory interneurons	True
Cerebellum-Microglia-1	Microglia	CL:0002628	immature microglial cell	False
Cerebellum-Microglia-1	Microglia	CL:0002629	mature microglial cell	False
Cerebellum-Microglia-1	Microglia	CL:0000129	microglial cell	True
Cerebellum-Microglia-2	Microglia	CL:0002628	immature microglial cell	False
Cerebellum-Microglia-2	Microglia	CL:0002629	mature microglial cell	False
Cerebellum-Microglia-2	Microglia	CL:0000129	microglial cell	True
Cerebellum-Microglia-3	Microglia	CL:0002628	immature microglial cell	False
Cerebellum-Microglia-3	Microglia	CL:0002629	mature microglial cell	False
Cerebellum-Microglia-3	Microglia	CL:0000129	microglial cell	True
Cerebellum-Microglia-4	Microglia	CL:0002628	immature microglial cell	False
Cerebellum-Microglia-4	Microglia	CL:0002629	mature microglial cell	False
Cerebellum-Microglia-4	Microglia	CL:0000129	microglial cell	True
Cerebellum-Microglia-5	Microglia	CL:0002628	immature microglial cell	False
Cerebellum-Microglia-5	Microglia	CL:0002629	mature microglial cell	False
Cerebellum-Microglia-5	Microglia	CL:0000129	microglial cell	True
Cerebellum-Oligodendrocytes-1	Oligodendrocytes	CL:0000128	Oligodendrocytes	True
Cerebellum-Oligodendrocytes-2	Oligodendrocytes	CL:0000128	Oligodendrocytes	True
Cerebellum-Oligodendrocytes-3	Oligodendrocytes	CL:0000128	Oligodendrocytes	True
Cerebellum-Oligodendrocytes-4	Oligodendrocytes	CL:0000128	Oligodendrocytes	True
Cerebellum-Oligodendrocytes-5	Oligodendrocytes	CL:0000128	Oligodendrocytes	True
Cerebellum-Purkinje neurons-1	Purkinje neurons	CL:0000121	unkwown	True
Cerebellum-Purkinje neurons-2	Purkinje neurons	CL:0000121	unkwown	True
Cerebellum-Purkinje neurons-3	Purkinje neurons	CL:0000121	unkwown	True
Cerebellum-Purkinje neurons-4	Purkinje neurons	CL:0000121	unkwown	True
Cerebellum-Purkinje neurons-5	Purkinje neurons	CL:0000121	unkwown	True
Cerebellum-Purkinje neurons-6	Purkinje neurons	CL:0000121	unkwown	True
Cerebellum-Purkinje neurons-7	Purkinje neurons	CL:0000121	unkwown	True
Cerebellum-Purkinje neurons-8	Purkinje neurons	CL:0000121	unkwown	True
Cerebellum-SLC24A4_PEX5L positive cells-1	SLC24A4_PEX5L positive	SLC24A4_PEX5L positive	SLC24A4_PEX5L positive	True
Cerebellum-SLC24A4_PEX5L positive cells-2	SLC24A4_PEX5L positive	SLC24A4_PEX5L positive	SLC24A4_PEX5L positive	True
Cerebellum-SLC24A4_PEX5L positive cells-3	SLC24A4_PEX5L positive	SLC24A4_PEX5L positive	SLC24A4_PEX5L positive	True
Cerebellum-SLC24A4_PEX5L positive cells-4	SLC24A4_PEX5L positive	SLC24A4_PEX5L positive	SLC24A4_PEX5L positive	True
