original_cell_type	stripped_cell_type	ontology_term_id	ontology_term_name	final
Adrenal-Adrenocortical cells-1	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-10	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-2	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-3	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-4	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-5	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-6	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-7	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-8	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-9	Adrenocortical	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Chromaffin cells-1	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-1	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-1	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-1	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-1	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-1	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-1	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-1	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
Adrenal-Chromaffin cells-1	Chromaffin	CL:1000466	chromaffin cell of right ovary	False
Adrenal-Chromaffin cells-1	Chromaffin	CL:0002083	type I cell of adrenal medulla	False
Adrenal-Chromaffin cells-10	Chromaffin	CL:1000427	adrenal cortex chromaffin cell	False
Adrenal-Chromaffin cells-10	Chromaffin	CL:0000336	adrenal medulla chromaffin cell	False
Adrenal-Chromaffin cells-10	Chromaffin	CL:0000166	chromaffin cell	True
Adrenal-Chromaffin cells-10	Chromaffin	CL:1000426	chromaffin cell of adrenal gland	False
Adrenal-Chromaffin cells-10	Chromaffin	CL:1000467	chromaffin cell of left ovary	False
Adrenal-Chromaffin cells-10	Chromaffin	CL:1000465	chromaffin cell of ovary	False
Adrenal-Chromaffin cells-10	Chromaffin	CL:1000424	chromaffin cell of paraaortic body	False
Adrenal-Chromaffin cells-10	Chromaffin	CL:1000425	chromaffin cell of paraganglion	False
