original_tisue	stripped_tissue	ontology_term_id	ontology_term_name	final
Eye	eye	UBERON:0000970	eye	True
Eye	eye	UBERON:0001702	eyelash	False
Eye	eye	UBERON:0010230	eyeball of camera-type eye	False
Eye	eye	UBERON:0004859	eye gland	False
Eye	eye	UBERON:0001711	eyelid	False
Eye	eye	UBERON:0005969	eye trabecular meshwork	False
Eye	eye	UBERON:0003660	eyelid muscle	False
Eye	eye	UBERON:0003071	eye primordium	False
Eye	eye	UBERON:0003484	eye sebaceous gland	False
Eye	eye	UBERON:0003437	eyelid nerve	False
Adrenal	adrenal	UBERON:0018303	adrenal tissue	False
Adrenal	adrenal	UBERON:0009753	adrenal gland cortex zone	False
Adrenal	adrenal	UBERON:0006858	adrenal/interrenal gland	False
Adrenal	adrenal	UBERON:0001235	adrenal cortex	False
Adrenal	adrenal	UBERON:0001236	adrenal medulla	False
Adrenal	adrenal	UBERON:0002052	adrenal gland capsule	False
Adrenal	adrenal	UBERON:0009024	adrenal gland X zone	False
Adrenal	adrenal	UBERON:0002369	adrenal gland	True
Adrenal	adrenal	UBERON:0002053	zona glomerulosa of adrenal gland	False
Adrenal	adrenal	UBERON:0002054	zona fasciculata of adrenal gland	False
Cerebellum	cerebellum	UBERON:0002037	cerebellum	True
Cerebellum	cerebellum	UBERON:0007763	cerebellum vermis culmen	False
Cerebellum	cerebellum	UBERON:0004006	cerebellum intermediate zone	False
Cerebellum	cerebellum	UBERON:0004082	cerebellum vermis lobule VIII	False
Cerebellum	cerebellum	UBERON:0004076	cerebellum vermis lobule III	False
Cerebellum	cerebellum	UBERON:0004075	cerebellum vermis lobule II	False
Cerebellum	cerebellum	UBERON:0004078	cerebellum vermis lobule IX	False
Cerebellum	cerebellum	UBERON:0004077	cerebellum vermis lobule IV	False
Cerebellum	cerebellum	UBERON:0004074	cerebellum vermis lobule I	False
Cerebellum	cerebellum	UBERON:0004073	cerebellum interpositus nucleus	False
Cerebrum	cerebrum	UBERON:0001893	telencephalon	True
Cerebrum	cerebrum	UBERON:0002921	longitudinal fissure	False
Heart	heart	UBERON:0000948	heart	True
Heart	heart	UBERON:0015410	heart plus pericardium	False
Heart	heart	UBERON:0004291	heart rudiment	False
Heart	heart	UBERON:0003610	heart elastic tissue	False
Heart	heart	UBERON:0004784	heart ventricle wall	False
Heart	heart	UBERON:0003498	heart blood vessel	False
Heart	heart	UBERON:0005983	heart layer	False
Heart	heart	UBERON:0002084	heart left ventricle	False
Heart	heart	UBERON:0002080	heart right ventricle	False
Heart	heart	UBERON:0004141	heart tube	False
Intestine	intestine	UBERON:0000160	intestine	True
Intestine	intestine	UBERON:0004221	intestine smooth muscle	False
Intestine	intestine	UBERON:0002466	intestine secretion	False
Intestine	intestine	UBERON:0001240	muscularis mucosae of intestine	False
Intestine	intestine	UBERON:0018543	lumen of intestine	False
Intestine	intestine	UBERON:0001262	wall of intestine	False
Intestine	intestine	UBERON:0001242	intestinal mucosa	False
Intestine	intestine	UBERON:0001277	intestinal epithelium	False
Intestine	intestine	UBERON:0001243	serosa of intestine	False
Intestine	intestine	UBERON:0000333	intestinal gland	False
Kidney	kidney	UBERON:0002113	kidney	True
Kidney	kidney	UBERON:0003527	kidney capillary	False
Kidney	kidney	UBERON:0004819	kidney epithelium	False
Kidney	kidney	UBERON:0004227	kidney pelvis smooth muscle	False
Kidney	kidney	UBERON:0004788	kidney pelvis urothelium	False
Kidney	kidney	UBERON:0004719	kidney arcuate vein	False
Kidney	kidney	UBERON:0002015	kidney capsule	False
Kidney	kidney	UBERON:0003517	kidney blood vessel	False
Kidney	kidney	UBERON:0003918	kidney mesenchyme	False
Kidney	kidney	UBERON:0004201	kidney outer medulla inner stripe	False
Liver	liver	UBERON:0002107	liver	True
Liver	liver	UBERON:0001280	liver parenchyma	False
Liver	liver	UBERON:0004647	liver lobule	False
Liver	liver	UBERON:0006729	liver perisinusoidal space	False
Liver	liver	UBERON:0006727	liver left lateral lobe	False
Liver	liver	UBERON:0006728	liver left medial lobe	False
Liver	liver	UBERON:0016478	liver stroma	False
Liver	liver	UBERON:0005221	liver right lobe parenchyma	False
Liver	liver	UBERON:0005222	liver left lobe parenchyma	False
Liver	liver	UBERON:0005050	liver papillary process	False
Lung	lung	UBERON:0002048	lung	True
Lung	lung	UBERON:0022361	lung field	False
Lung	lung	UBERON:0003615	lung elastic tissue	False
Lung	lung	UBERON:0004883	lung mesenchyme	False
Lung	lung	UBERON:0000115	lung epithelium	False
Lung	lung	UBERON:0000102	lung vasculature	False
Lung	lung	UBERON:0004886	lung hilus	False
Lung	lung	UBERON:0016624	lunge feeding vibrissa	False
Lung	lung	UBERON:0016621	lunge feeding organ	False
Lung	lung	UBERON:0016622	lunge feeding organ papilla	False
Muscle	muscle	UBERON:0007182	muscle layer of infundibulum of uterine tube	False
Muscle	muscle	UBERON:0001498	muscle of pes	False
Muscle	muscle	UBERON:0001383	muscle of leg	False
Muscle	muscle	UBERON:0001497	muscle of pelvic girdle	False
Muscle	muscle	UBERON:0008612	muscle of pelvic diaphragm	False
Muscle	muscle	UBERON:0008196	muscle of pectoral girdle	False
Muscle	muscle	UBERON:0004113	muscle of auditory ossicle	False
Muscle	muscle	UBERON:0016524	muscle layer of spongiose part of urethra	False
Muscle	muscle	UBERON:0001500	muscle of manus	False
