original_tisue	stripped_tissue	ontology_term_id	ontology_term_name	final
Muscle	muscle	UBERON:0002377	muscle of neck	False
Muscle	muscle	UBERON:0001630	muscle organ	True
Pancreas	pancreas	UBERON:0001264	pancreas	True
Pancreas	pancreas	UBERON:0004795	pancreas secretion	False
Pancreas	pancreas	UBERON:0015280	pancreas left lobe	False
Pancreas	pancreas	UBERON:0015281	pancreas right lobe	False
Pancreas	pancreas	UBERON:0003921	pancreas primordium	False
Pancreas	pancreas	UBERON:0005220	pancreas head parenchyma	False
Pancreas	pancreas	UBERON:0005223	pancreas body parenchyma	False
Pancreas	pancreas	UBERON:0005224	pancreas tail parenchyma	False
Pancreas	pancreas	UBERON:0010376	pancreas ventral primordium	False
Pancreas	pancreas	UBERON:0010375	pancreas dorsal primordium	False
Placenta	placenta	UBERON:0001987	placenta	True
Placenta	placenta	UBERON:0010008	placental cotyledon	False
Placenta	placenta	UBERON:0003970	placental labyrinth vasculature	False
Placenta	placenta	UBERON:0003946	placenta labyrinth	False
Placenta	placenta	UBERON:0004183	placental labyrinth blood vessel	False
Placenta	placenta	UBERON:0003972	placenta junctional zone	False
Placenta	placenta	UBERON:0017259	placental caruncle	False
Placenta	placenta	UBERON:0008855	placenta metrial gland	False
Placenta	placenta	UBERON:0022358	placenta blood vessel	False
Placenta	placenta	UBERON:0009002	placental membrane	False
Spleen	spleen	UBERON:0002106	spleen	True
Spleen	spleen	UBERON:0010421	spleen B cell corona	False
Spleen	spleen	UBERON:0005196	spleen germinal center	False
Spleen	spleen	UBERON:0004238	spleen smooth muscle	False
Spleen	spleen	UBERON:0010756	spleen follicular dendritic cell network	False
Spleen	spleen	UBERON:0006293	spleen primordium	False
Spleen	spleen	UBERON:0001249	spleen lymphoid follicle	False
Spleen	spleen	UBERON:0004641	spleen capsule	False
Spleen	spleen	UBERON:0004042	spleen secondary B follicle	False
Spleen	spleen	UBERON:0004041	spleen primary B follicle	False
Stomach	stomach	UBERON:0000945	stomach	True
Stomach	stomach	UBERON:0006931	stomach glandular region mucosa	False
Stomach	stomach	UBERON:0010040	stomach non-glandular epithelium	False
Stomach	stomach	UBERON:0004222	stomach smooth muscle	False
Stomach	stomach	UBERON:0005477	stomach fundus epithelium	False
Stomach	stomach	UBERON:0016502	stomach fundus lumen	False
Stomach	stomach	UBERON:0006924	stomach glandular epithelium	False
Stomach	stomach	UBERON:0006921	stomach squamous epithelium	False
Stomach	stomach	UBERON:0008863	stomach smooth muscle outer longitudinal layer	False
Stomach	stomach	UBERON:0008862	stomach smooth muscle inner oblique layer	False
Thymus	thymus	UBERON:0002370	thymus	True
Thymus	thymus	UBERON:0003988	thymus corticomedullary boundary	False
Thymus	thymus	UBERON:0003846	thymus epithelium	False
Thymus	thymus	UBERON:0004791	thymus trabecula	False
Thymus	thymus	UBERON:0003483	thymus lymphoid tissue	False
Thymus	thymus	UBERON:0002125	thymus lobule	False
Thymus	thymus	UBERON:0005562	thymus primordium	False
Thymus	thymus	UBERON:0005483	thymus lobe	False
Thymus	thymus	UBERON:0006936	thymus subcapsular epithelium	False
Thymus	thymus	UBERON:0008817	thymus primordium endoderm	False
