original_cell_type	stripped_cell_type	ontology_term_id	ontology_term_name	final
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000511	androgen binding protein secreting cell	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000593	androgen secreting cell	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000519	phagocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000338	neuroblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000340	glioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000468	neuroglioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0011107	Muller cell	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000568	amine precursor uptake and decarboxylation cell	False
Eye-Retinal progenitors and Muller glia-1	Retinal progenitors and Muller glia	CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	False
Eye-Amacrine cells-1	Amacrine 	CL:0000561	amacrine cell	True
Eye-Amacrine cells-2	Amacrine 	CL:0000561	amacrine cell	True
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000511	androgen binding protein secreting cell	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000593	androgen secreting cell	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000519	phagocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000338	neuroblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000340	glioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000468	neuroglioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0011107	Muller cell	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000568	amine precursor uptake and decarboxylation cell	False
Eye-Retinal progenitors and Muller glia-2	Retinal progenitors and Muller glia	CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000210	photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0010009	camera-type eye photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000687	R1 photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000694	R3 photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000697	R4 photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000690	R2 photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000287	eye photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000709	R8 photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000707	R7 photoreceptor cell	False
Eye-Photoreceptor cells-1	Photoreceptor 	CL:0000702	R5 photoreceptor cell	False
Eye-Bipolar cells-1	Bipolar 	CL:0000103	bipolar neuron	False
Eye-Bipolar cells-1	Bipolar 	CL:0000753	type 1 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-1	Bipolar 	CL:0000757	type 5 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-1	Bipolar 	CL:0000756	type 4 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-1	Bipolar 	CL:0000755	type 3 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-1	Bipolar 	CL:0000754	type 2 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-1	Bipolar 	CL:0000759	type 7 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-1	Bipolar 	CL:0000758	type 6 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-1	Bipolar 	CL:0000760	type 8 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-1	Bipolar 	CL:0000761	type 9 cone bipolar cell (sensu Mus)	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000511	androgen binding protein secreting cell	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000593	androgen secreting cell	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000519	phagocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000338	neuroblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000340	glioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000468	neuroglioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0011107	Muller cell	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000568	amine precursor uptake and decarboxylation cell	False
Eye-Retinal progenitors and Muller glia-3	Retinal progenitors and Muller glia	CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	False
Eye-Ganglion cells-1	Ganglion 	CL:0000397	ganglion interneuron	False
Eye-Ganglion cells-1	Ganglion 	CL:0000469	ganglion mother cell	False
Eye-Ganglion cells-1	Ganglion 	CL:0000740	retinal ganglion cell	False
Eye-Ganglion cells-1	Ganglion 	CL:2000031	lateral line ganglion neuron	False
Eye-Ganglion cells-1	Ganglion 	CL:0011113	spiral ganglion neuron	False
Eye-Ganglion cells-1	Ganglion 	CL:0008021	anterior lateral line ganglion neuron	False
Eye-Ganglion cells-1	Ganglion 	CL:1000245	posterior lateral line ganglion neuron	False
Eye-Ganglion cells-1	Ganglion 	CL:1001451	sensory neuron of dorsal root ganglion	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000210	photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0010009	camera-type eye photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000687	R1 photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000694	R3 photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000697	R4 photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000690	R2 photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000287	eye photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000709	R8 photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000707	R7 photoreceptor cell	False
Eye-Photoreceptor cells-2	Photoreceptor 	CL:0000702	R5 photoreceptor cell	False
Eye-Amacrine cells-3	Amacrine 	CL:0000561	amacrine cell	True
Eye-Retinal pigment cells-1	Retinal pigment 	CL:0002586	retinal pigment epithelial cell	True
Eye-Horizontal cells-1	Horizontal 	CL:0000745	retina horizontal cell	False
Eye-Horizontal cells-1	Horizontal 	CL:0002184	basal proper cell of olfactory epithelium	False
Eye-Amacrine cells-4	Amacrine 	CL:0000561	amacrine cell	True
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000210	photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0010009	camera-type eye photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000687	R1 photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000694	R3 photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000697	R4 photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000690	R2 photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000287	eye photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000709	R8 photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000707	R7 photoreceptor cell	False
Eye-Photoreceptor cells-3	Photoreceptor 	CL:0000702	R5 photoreceptor cell	False
Eye-Horizontal cells-2	Horizontal 	CL:0000745	retina horizontal cell	False
Eye-Horizontal cells-2	Horizontal 	CL:0002184	basal proper cell of olfactory epithelium	False
Eye-Ganglion cells-2	Ganglion 	CL:0000397	ganglion interneuron	False
Eye-Ganglion cells-2	Ganglion 	CL:0000469	ganglion mother cell	False
Eye-Ganglion cells-2	Ganglion 	CL:0000740	retinal ganglion cell	False
Eye-Ganglion cells-2	Ganglion 	CL:2000031	lateral line ganglion neuron	False
Eye-Ganglion cells-2	Ganglion 	CL:0011113	spiral ganglion neuron	False
Eye-Ganglion cells-2	Ganglion 	CL:0008021	anterior lateral line ganglion neuron	False
Eye-Ganglion cells-2	Ganglion 	CL:1000245	posterior lateral line ganglion neuron	False
Eye-Ganglion cells-2	Ganglion 	CL:1001451	sensory neuron of dorsal root ganglion	False
Eye-Horizontal cells-3	Horizontal 	CL:0000745	retina horizontal cell	False
Eye-Horizontal cells-3	Horizontal 	CL:0002184	basal proper cell of olfactory epithelium	False
Eye-Amacrine cells-5	Amacrine 	CL:0000561	amacrine cell	True
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000511	androgen binding protein secreting cell	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000593	androgen secreting cell	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000519	phagocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000338	neuroblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000340	glioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000468	neuroglioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0011107	Muller cell	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000568	amine precursor uptake and decarboxylation cell	False
Eye-Retinal progenitors and Muller glia-4	Retinal progenitors and Muller glia	CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000511	androgen binding protein secreting cell	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000593	androgen secreting cell	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000519	phagocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000338	neuroblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000340	glioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000468	neuroglioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0011107	Muller cell	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000568	amine precursor uptake and decarboxylation cell	False
Eye-Retinal progenitors and Muller glia-5	Retinal progenitors and Muller glia	CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	False
Eye-Lens fibre cells-1	Lens fibre 	CL:0011004	lens fiber cell	False
Eye-Lens fibre cells-1	Lens fibre 	CL:0002225	secondary lens fiber	False
Eye-Lens fibre cells-1	Lens fibre 	CL:0002227	nucleated secondary lens fiber	False
Eye-Lens fibre cells-1	Lens fibre 	CL:0002228	primary lens fiber	False
Eye-Lens fibre cells-1	Lens fibre 	CL:0002226	non-nucleated secondary lens fiber	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000210	photoreceptor cell	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0010009	camera-type eye photoreceptor cell	False
