original_cell_type	stripped_cell_type	ontology_term_id	ontology_term_name	final
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000687	R1 photoreceptor cell	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000694	R3 photoreceptor cell	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000697	R4 photoreceptor cell	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000690	R2 photoreceptor cell	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000287	eye photoreceptor cell	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000709	R8 photoreceptor cell	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000707	R7 photoreceptor cell	False
Eye-Photoreceptor cells-4	Photoreceptor 	CL:0000702	R5 photoreceptor cell	False
Eye-Vascular endothelial cells-1	Vascular endothelial 	CL:0002139	endothelial cell of vascular tree	False
Eye-Vascular endothelial cells-1	Vascular endothelial 	CL:0000071	blood vessel endothelial cell	False
Eye-Stromal cells-1	Stromal 	CL:0010001	stromal cell of bone marrow	False
Eye-Stromal cells-1	Stromal 	CL:0002574	stromal cell of pancreas	False
Eye-Stromal cells-1	Stromal 	CL:0002132	stromal cell of ovary	False
Eye-Stromal cells-1	Stromal 	CL:0002133	stromal cell of ovarian cortex	False
Eye-Stromal cells-1	Stromal 	CL:0002134	stromal cell of ovarian medulla	False
Eye-Stromal cells-1	Stromal 	CL:0000499	stromal cell	False
Eye-Stromal cells-1	Stromal 	CL:0002255	stromal cell of endometrium	False
Eye-Stromal cells-1	Stromal 	CL:0002622	prostate stromal cell	False
Eye-Stromal cells-1	Stromal 	CL:2000002	decidual cell	False
Eye-Stromal cells-1	Stromal 	CL:2000061	placental amniotic mesenchymal stromal cell	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000511	androgen binding protein secreting cell	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000593	androgen secreting cell	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000519	phagocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000338	neuroblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000340	glioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000468	neuroglioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0011107	Muller cell	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000568	amine precursor uptake and decarboxylation cell	False
Eye-Retinal progenitors and Muller glia-6	Retinal progenitors and Muller glia	CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	False
Eye-Ganglion cells-3	Ganglion 	CL:0000397	ganglion interneuron	False
Eye-Ganglion cells-3	Ganglion 	CL:0000469	ganglion mother cell	False
Eye-Ganglion cells-3	Ganglion 	CL:0000740	retinal ganglion cell	False
Eye-Ganglion cells-3	Ganglion 	CL:2000031	lateral line ganglion neuron	False
Eye-Ganglion cells-3	Ganglion 	CL:0011113	spiral ganglion neuron	False
Eye-Ganglion cells-3	Ganglion 	CL:0008021	anterior lateral line ganglion neuron	False
Eye-Ganglion cells-3	Ganglion 	CL:1000245	posterior lateral line ganglion neuron	False
Eye-Ganglion cells-3	Ganglion 	CL:1001451	sensory neuron of dorsal root ganglion	False
Eye-Amacrine cells-6	Amacrine 	CL:0000561	amacrine cell	True
Eye-Stromal cells-2	Stromal 	CL:0010001	stromal cell of bone marrow	False
Eye-Stromal cells-2	Stromal 	CL:0002574	stromal cell of pancreas	False
Eye-Stromal cells-2	Stromal 	CL:0002132	stromal cell of ovary	False
Eye-Stromal cells-2	Stromal 	CL:0002133	stromal cell of ovarian cortex	False
Eye-Stromal cells-2	Stromal 	CL:0002134	stromal cell of ovarian medulla	False
Eye-Stromal cells-2	Stromal 	CL:0000499	stromal cell	False
Eye-Stromal cells-2	Stromal 	CL:0002255	stromal cell of endometrium	False
Eye-Stromal cells-2	Stromal 	CL:0002622	prostate stromal cell	False
Eye-Stromal cells-2	Stromal 	CL:2000002	decidual cell	False
Eye-Stromal cells-2	Stromal 	CL:2000061	placental amniotic mesenchymal stromal cell	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000511	androgen binding protein secreting cell	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000593	androgen secreting cell	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:1000432	conjunctival epithelial cell	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000519	phagocyte (sensu Nematoda and Protostomia)	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000338	neuroblast (sensu Nematoda and Protostomia)	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000340	glioblast (sensu Nematoda and Protostomia)	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000468	neuroglioblast (sensu Nematoda and Protostomia)	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000568	amine precursor uptake and decarboxylation cell	False
Eye-Corneal and conjunctival epithelial cells-1	Corneal and conjunctival epithelial 	CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	False
Eye-Ganglion cells-4	Ganglion 	CL:0000397	ganglion interneuron	False
Eye-Ganglion cells-4	Ganglion 	CL:0000469	ganglion mother cell	False
Eye-Ganglion cells-4	Ganglion 	CL:0000740	retinal ganglion cell	False
Eye-Ganglion cells-4	Ganglion 	CL:2000031	lateral line ganglion neuron	False
Eye-Ganglion cells-4	Ganglion 	CL:0011113	spiral ganglion neuron	False
Eye-Ganglion cells-4	Ganglion 	CL:0008021	anterior lateral line ganglion neuron	False
Eye-Ganglion cells-4	Ganglion 	CL:1000245	posterior lateral line ganglion neuron	False
Eye-Ganglion cells-4	Ganglion 	CL:1001451	sensory neuron of dorsal root ganglion	False
Eye-Amacrine cells-7	Amacrine 	CL:0000561	amacrine cell	True
Eye-PDE11A_FAM19A2 positive cells-1	PDE11A_FAM19A2 positive 	unkwown	unkwown	False
Eye-Amacrine cells-8	Amacrine 	CL:0000561	amacrine cell	True
Eye-Amacrine cells-9	Amacrine 	CL:0000561	amacrine cell	True
Eye-Ganglion cells-5	Ganglion 	CL:0000397	ganglion interneuron	False
Eye-Ganglion cells-5	Ganglion 	CL:0000469	ganglion mother cell	False
Eye-Ganglion cells-5	Ganglion 	CL:0000740	retinal ganglion cell	False
Eye-Ganglion cells-5	Ganglion 	CL:2000031	lateral line ganglion neuron	False
Eye-Ganglion cells-5	Ganglion 	CL:0011113	spiral ganglion neuron	False
Eye-Ganglion cells-5	Ganglion 	CL:0008021	anterior lateral line ganglion neuron	False
Eye-Ganglion cells-5	Ganglion 	CL:1000245	posterior lateral line ganglion neuron	False
Eye-Ganglion cells-5	Ganglion 	CL:1001451	sensory neuron of dorsal root ganglion	False
Eye-Bipolar cells-2	Bipolar 	CL:0000103	bipolar neuron	False
Eye-Bipolar cells-2	Bipolar 	CL:0000753	type 1 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-2	Bipolar 	CL:0000757	type 5 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-2	Bipolar 	CL:0000756	type 4 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-2	Bipolar 	CL:0000755	type 3 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-2	Bipolar 	CL:0000754	type 2 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-2	Bipolar 	CL:0000759	type 7 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-2	Bipolar 	CL:0000758	type 6 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-2	Bipolar 	CL:0000760	type 8 cone bipolar cell (sensu Mus)	False
Eye-Bipolar cells-2	Bipolar 	CL:0000761	type 9 cone bipolar cell (sensu Mus)	False
Eye-Stromal cells-3	Stromal 	CL:0010001	stromal cell of bone marrow	False
Eye-Stromal cells-3	Stromal 	CL:0002574	stromal cell of pancreas	False
Eye-Stromal cells-3	Stromal 	CL:0002132	stromal cell of ovary	False
Eye-Stromal cells-3	Stromal 	CL:0002133	stromal cell of ovarian cortex	False
Eye-Stromal cells-3	Stromal 	CL:0002134	stromal cell of ovarian medulla	False
Eye-Stromal cells-3	Stromal 	CL:0000499	stromal cell	False
Eye-Stromal cells-3	Stromal 	CL:0002255	stromal cell of endometrium	False
Eye-Stromal cells-3	Stromal 	CL:0002622	prostate stromal cell	False
Eye-Stromal cells-3	Stromal 	CL:2000002	decidual cell	False
Eye-Stromal cells-3	Stromal 	CL:2000061	placental amniotic mesenchymal stromal cell	False
Eye-Stromal cells-4	Stromal 	CL:0010001	stromal cell of bone marrow	False
Eye-Stromal cells-4	Stromal 	CL:0002574	stromal cell of pancreas	False
Eye-Stromal cells-4	Stromal 	CL:0002132	stromal cell of ovary	False
Eye-Stromal cells-4	Stromal 	CL:0002133	stromal cell of ovarian cortex	False
Eye-Stromal cells-4	Stromal 	CL:0002134	stromal cell of ovarian medulla	False
Eye-Stromal cells-4	Stromal 	CL:0000499	stromal cell	False
Eye-Stromal cells-4	Stromal 	CL:0002255	stromal cell of endometrium	False
Eye-Stromal cells-4	Stromal 	CL:0002622	prostate stromal cell	False
Eye-Stromal cells-4	Stromal 	CL:2000002	decidual cell	False
Eye-Stromal cells-4	Stromal 	CL:2000061	placental amniotic mesenchymal stromal cell	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000511	androgen binding protein secreting cell	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000593	androgen secreting cell	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000519	phagocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000338	neuroblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000340	glioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000468	neuroglioblast (sensu Nematoda and Protostomia)	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0011107	Muller cell	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000568	amine precursor uptake and decarboxylation cell	False
Eye-Retinal progenitors and Muller glia-7	Retinal progenitors and Muller glia	CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	False
Eye-Astrocytes-1	Astrocytes	unkwown	unkwown	False
Eye-Microglia-1	Microglia	CL:0000129	microglial cell	False
Eye-Microglia-1	Microglia	CL:0002628	immature microglial cell	False
Eye-Microglia-1	Microglia	CL:0002629	mature microglial cell	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:1000487	smooth muscle cell of prostate	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:0002243	smooth muscle cell of sphincter of pupil	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:1000281	smooth muscle cell of cecum	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:1000286	smooth muscle cell of rectum	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:0000192	smooth muscle cell	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:0000514	smooth muscle myoblast	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:1000280	smooth muscle cell of colon	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:1000277	smooth muscle fiber of jejunum	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:1000276	smooth muscle fiber of duodenum	False
Eye-Smooth muscle cells-1	Smooth muscle 	CL:1000278	smooth muscle fiber of ileum	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0000515	skeletal muscle myoblast	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0008002	skeletal muscle fiber	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0000594	skeletal muscle satellite cell	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:2000077	skeletal muscle tissue of pectoralis major striated muscle cell	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0008011	skeletal muscle satellite stem cell	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0008020	skeletal muscle satellite myogenic cell	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0000188	cell of skeletal muscle	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0008017	adult skeletal muscle myoblast	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0008016	activated skeletal muscle satellite cell	False
Eye-Skeletal muscle cells-1	Skeletal muscle 	CL:0008012	quiescent skeletal muscle satellite cell	False
Adrenal-Adrenocortical cells-1	Adrenocortical 	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-2	Adrenocortical 	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-3	Adrenocortical 	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Adrenocortical cells-4	Adrenocortical 	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Vascular endothelial cells-1	Vascular endothelial 	CL:0002139	endothelial cell of vascular tree	False
Adrenal-Vascular endothelial cells-1	Vascular endothelial 	CL:0000071	blood vessel endothelial cell	False
Adrenal-Adrenocortical cells-5	Adrenocortical 	CL:0002097	cortical cell of adrenal gland	True
Adrenal-Stromal cells-1	Stromal 	CL:0010001	stromal cell of bone marrow	False
Adrenal-Stromal cells-1	Stromal 	CL:0002574	stromal cell of pancreas	False
Adrenal-Stromal cells-1	Stromal 	CL:0002132	stromal cell of ovary	False
Adrenal-Stromal cells-1	Stromal 	CL:0002133	stromal cell of ovarian cortex	False
Adrenal-Stromal cells-1	Stromal 	CL:0002134	stromal cell of ovarian medulla	False
Adrenal-Stromal cells-1	Stromal 	CL:0000499	stromal cell	False
Adrenal-Stromal cells-1	Stromal 	CL:0002255	stromal cell of endometrium	False
