BICCN_cluster_id	BICCN_cluster_label	BICCN_subclass_label	BICCN_class_label	BICCN_ontology_term_id	cell_type_ontology_term_id	cell_type
48.0	L6 CT Grp_1	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
4.0	Lamp5 Slc35d3	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
49.0	L6 CT Grp_2	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
37.0	L5 IT S100b_1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
36.0	L5 IT Tcap_2	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
55.0	L6b Shisa6	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
11.0	Vip Chat_2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
33.0	L5 IT Rspo1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
57.0	L6b Kcnip1_2	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
25.0	Pvalb Reln	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
54.0	L6b Ror1_2	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
7.0	Sncg	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
21.0	Sst Etv1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
30.0	L2/3 IT Cdh13 Sla	L2/3 IT	Glutamatergic	ILX:0770156	CL:0000679	glutamatergic neuron
42.0	L6 IT Sulf_3	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
38.0	L5 IT S100b_2	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
58.0	Astro Aqp4	Astro	Non-Neuronal	ILX:0770141	CL:0000127	astrocyte
27.0	Pvalb Calb1	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
35.0	L5 IT Tcap_1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
31.0	L2/3 IT S100a6	L2/3 IT	Glutamatergic	ILX:0770156	CL:0000679	glutamatergic neuron
6.0	Vip Serpinf1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
50.0	L6 CT Nxph2_1	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
34.0	L5 IT Rspo2	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
28.0	Pvalb Gpr149	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
17.0	Vip Crispld2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
24.0	Sst Crhr2_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
53.0	L6b Ror1_1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
26.0	Pvalb Th	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
12.0	Vip Chat_3	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
46.0	L6 NP Trh	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
45.0	L5 NP Slc17a8	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
19.0	Sst Myh8_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
3.0	Lamp5 Pdlim5	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
15.0	Vip C1ql1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
18.0	Sst Chodl	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
8.0	Sncg Slc17a8	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
29.0	Pvalb Vipr2	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
40.0	L6 IT Sulf_1	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
23.0	Sst Crhr2_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
32.0	L2/3 IT Macc1	L2/3 IT	Glutamatergic	ILX:0770156	CL:0000679	glutamatergic neuron
9.0	Vip Igfbp6	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
1.0	Lamp5 Egln3_1	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
61.0	SMC Aoc3	SMC	Non-Neuronal	ILX:0770144	CL:0000192	smooth muscle cell
39.0	L5 IT Pld5	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
10.0	Vip Chat_1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
5.0	Lamp5 Lhx6	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
52.0	L6b Rprm	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
16.0	Vip Gpc3	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
22.0	Sst C1ql3	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
14.0	Vip Htr1f	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
13.0	Vip Lmo1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
20.0	Sst Myh8_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
44.0	L5 ET	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
41.0	L6 IT Sulf_2	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
2.0	Lamp5 Egln3_2	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
56.0	L6b Kcnip1_1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
59.0	VLMC	VLMC	Non-Neuronal	ILX:0770143	CL:0000708	leptomeningeal cell
47.0	L6 CT Gpr139	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
60.0	Endo Slc38a5	Endo	Non-Neuronal	ILX:0770142	CL:0000115	endothelial cell
43.0	L6 IT Car3	L6 IT Car3	Glutamatergic	ILX:0770159	CL:0000679	glutamatergic neuron
51.0	L6 CT Nxph2_2	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
9.0	Sncg Slc17a8	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
48.0	Pvalb Calb1_1	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
56.0	L5 IT Rspo2_1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
55.0	L5 IT Rspo1_1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
76.0	L6b Shisa6_2_1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
72.0	L6 CT Cpa6	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
67.0	L5 NP Trh	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
8.0	Sncg Col14a1	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
68.0	L6 NP Trh_1	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
5.0	Lamp5 Pdlim5	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
78.0	L6b Ror1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
59.0	L5 IT S100b	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
54.0	L2/3 IT 	L2/3 IT	Glutamatergic	ILX:0770156	CL:0000679	glutamatergic neuron
20.0	Vip Chat	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
23.0	Vip C1ql1_1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
57.0	L5 IT Tcap_1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
89.0	Endo_3	Endo	Non-Neuronal	ILX:0770142	CL:0000115	endothelial cell
61.0	L6 IT_2	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
28.0	Sst Myh8_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
36.0	Sst C1ql3_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
73.0	L6 CT Nxph2 Pou3f2	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
52.0	Pvalb Reln	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
6.0	Lamp5 Slc35d3	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
35.0	Sst Calb2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
53.0	Pvalb Vipr2	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
66.0	L5 NP Slc17a8	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
43.0	Sst Pvalb Etv1_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
39.0	Sst Crhr2_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
50.0	Pvalb Gpr149	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
71.0	L6 CT Gpr139	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
10.0	Sncg Npy2r	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
75.0	L6b Shisa6_1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
21.0	Vip Lypd1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
51.0	Pvalb Il1rapl2	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
38.0	Sst C1ql3_3	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
15.0	Vip Serpinf1_2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
3.0	Lamp5 Egln3_2	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
22.0	Vip Gpc3	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
40.0	Sst Crhr2_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
17.0	Vip Htr1f_1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
18.0	Vip Igfbp6	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
30.0	Sst Myh8_4	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
2.0	Lamp5 Egln3_1	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
47.0	Pvalb Gabrg1	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
25.0	Vip Crispld2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
33.0	Sst Hspe_3	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
19.0	Vip Mybpc1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
29.0	Sst Myh8_3	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
81.0	Astro Aqp4	Astro	Non-Neuronal	ILX:0770141	CL:0000127	astrocyte
32.0	Sst Hspe_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
4.0	Lamp5 Egln3_3	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
7.0	Lamp5 Lhx6	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
77.0	L6b Shisa6_2_2	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
24.0	Vip C1ql1_2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
80.0	L6b Kcnip1_2	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
63.0	L5 ET_1	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
58.0	L5 IT Tcap_2	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
60.0	L6 IT_1	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
65.0	L5 ET_3	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
87.0	Endo_1	Endo	Non-Neuronal	ILX:0770142	CL:0000115	endothelial cell
85.0	Oligo Opalin_1	Oligo	Non-Neuronal	ILX:0770140	CL:0000128	oligodendrocyte
70.0	L6 NP CT	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
1.0	Lamp5 Pax6	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
82.0	OPC Pdgfra	OPC	Non-Neuronal	ILX:0770139	CL:0002453	oligodendrocyte precursor cell
13.0	Vip Crispld2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
74.0	L6 CT Nxph2 Kit	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
44.0	Sst Pvalb Etv1_3	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
31.0	Sst Hspe_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
16.0	Vip Htr1f_2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
86.0	Oligo Opalin_2	Oligo	Non-Neuronal	ILX:0770140	CL:0000128	oligodendrocyte
64.0	L5 ET_2	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
26.0	Sst Chodl	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
42.0	Sst Pvalb Etv1_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
90.0	Macrophage	Macrophage	Non-Neuronal	Macrophage	CL:0000235	macrophage
46.0	Pvalb Sst Calb1_2	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
62.0	L6 IT Car3	L6 IT Car3	Glutamatergic	ILX:0770159	CL:0000679	glutamatergic neuron
27.0	Sst Myh8_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
14.0	Vip Serpinf1_1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
37.0	Sst C1ql3_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
79.0	L6b Kcnip1_1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
11.0	Sncg Calb1_1	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
45.0	Pvalb Sst Calb1_1	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
12.0	Sncg Calb1_2	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
41.0	Sst Th	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
83.0	Oligo Enpp6_1	Oligo	Non-Neuronal	ILX:0770140	CL:0000128	oligodendrocyte
69.0	L6 NP Trh_2	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
49.0	Pvalb Calb1_2	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
34.0	Sst Hspe_4	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
84.0	Oligo Enpp6_2	Oligo	Non-Neuronal	ILX:0770140	CL:0000128	oligodendrocyte
88.0	Endo_2	Endo	Non-Neuronal	ILX:0770142	CL:0000115	endothelial cell
59.0	L6b Shisa6	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
54.0	L6 CT Brinp3	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
11.0	Vip Chat	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
34.0	L5 IT Rspo1_3	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
30.0	L2/3 IT_2	L2/3 IT	Glutamatergic	ILX:0770156	CL:0000679	glutamatergic neuron
29.0	L2/3 IT_1	L2/3 IT	Glutamatergic	ILX:0770156	CL:0000679	glutamatergic neuron
52.0	L6 NP CT	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
35.0	L5 IT S100b	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
33.0	L5 IT Rspo1_2	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
41.0	L6 IT Sulf1_4	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
31.0	L2/3 IT_3	L2/3 IT	Glutamatergic	ILX:0770156	CL:0000679	glutamatergic neuron
6.0	Sncg Col14a1	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
56.0	L6 CT Nxph2	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
40.0	L6 IT Sulf1_3	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
37.0	L5 IT Pld5_2	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
55.0	L6 CT Cpa6	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
27.0	Pvalb Reln	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
36.0	L5 IT Pld5_1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
23.0	Pvalb Prdm8	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
24.0	Pvalb Gpr149	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
25.0	Pvalb Il1rapl2_1	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
48.0	L5 NP Slc17a8_1	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
42.0	L5 ET_1	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
15.0	Sst Hpse	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
14.0	Sst Myh8	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
51.0	L6 NP Trh_2	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
32.0	L5 IT Rspo1_1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
66.0	Oligo Opalin	Oligo	Non-Neuronal	ILX:0770140	CL:0000128	oligodendrocyte
44.0	L5 ET_3	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
38.0	L6 IT Sulf1_1	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
60.0	L6b Ror1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
46.0	L5 ET_5	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
28.0	Pvalb Vipr2	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
12.0	Vip Crispld2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
10.0	Vip Igfbp6	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
62.0	Astro Aqp4	Astro	Non-Neuronal	ILX:0770141	CL:0000127	astrocyte
49.0	L5 NP Slc17a8_2	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
9.0	Vip Htr1f	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
26.0	Pvalb Il1rapl2_2	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
17.0	Sst C1ql3_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
63.0	Macrophage	Macrophage	Non-Neuronal	Macrophage	CL:0000235	macrophage
64.0	OPC Pdgfra_1	OPC	Non-Neuronal	ILX:0770139	CL:0002453	oligodendrocyte precursor cell
22.0	Pvalb Gabrg1	Pvalb	GABAergic	ILX:0770154	CL:0000617	GABAergic neuron
58.0	L6b Rprm_2	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
45.0	L5 ET_4	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
