BICCN_cluster_id	BICCN_cluster_label	BICCN_subclass_label	BICCN_class_label	BICCN_ontology_term_id	cell_type_ontology_term_id	cell_type
21.0	Sst Pvalb Etv1_3	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
43.0	L5 ET_2	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
50.0	L6 NP Trh_1	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
13.0	Sst Chodl	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
16.0	Sst Calb2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
39.0	L6 IT Sulf1_2	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
65.0	OPC Pdgfra_2	OPC	Non-Neuronal	ILX:0770139	CL:0002453	oligodendrocyte precursor cell
2.0	Lamp5 Egln3	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
47.0	L5 ET_6	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
8.0	Vip Serpinf1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
57.0	L6b Rprm_1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
19.0	Sst Pvalb Etv1_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
67.0	Endo Slc38a5	Endo	Non-Neuronal	ILX:0770142	CL:0000115	endothelial cell
18.0	Sst C1ql3_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
7.0	Sncg Slc17a8	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
53.0	L6 CT Gpr139	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
20.0	Sst Pvalb Etv1_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
61.0	L6b Kcnip1	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
42.0	L5 IT Tcap_2	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
41.0	L5 IT Tcap_1	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
20.0	Vip Gpc3	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
12.0	Vip Htr1f_2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
48.0	L6 IT Sulf1_4	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
21.0	Vip C1ql1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
64.0	L6 CT Nxph2 Kit	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
40.0	L2/3 IT	L2/3 IT	Glutamatergic	ILX:0770156	CL:0000679	glutamatergic neuron
73.0	Oligo Opalin_1	Oligo	Non-Neuronal	ILX:0770140	CL:0000128	oligodendrocyte
61.0	L6 CT Cpa6_2	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
43.0	L5 IT S100b	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
44.0	L5 IT Pld5	L5 IT	Glutamatergic	ILX:0770157	CL:0000679	glutamatergic neuron
60.0	L6 CT Cpa6_1	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
32.0	Sst Crhr2_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
5.0	Lamp5 Slc35d3_1	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
19.0	Vip Cbln4_2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
47.0	L6 IT Sulf1_3	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
56.0	L6 NP Trh_1	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
16.0	Vip Chat	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
54.0	L5 NP Slc17a8_2	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
14.0	Vip Mybpc1_1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
27.0	Sst Hpse_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
45.0	L6 IT Sulf1_1	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
53.0	L5 NP Slc17a8_1	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
75.0	Macrophage	Macrophage	Non-Neuronal	Macrophage	CL:0000235	macrophage
10.0	Vip Serpinf1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
25.0	Sst Myh8_2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
58.0	L6 NP Trh_3	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
2.0	Lamp5 Egln3_2_1	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
24.0	Sst Myh8_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
22.0	Vip Crispld2	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
69.0	Astro Aqp4	Astro	Non-Neuronal	ILX:0770141	CL:0000127	astrocyte
70.0	OPC Pdgfra	OPC	Non-Neuronal	ILX:0770139	CL:0002453	oligodendrocyte precursor cell
46.0	L6 IT Sulf1_2	L6 IT	Glutamatergic	ILX:0770158	CL:0000679	glutamatergic neuron
65.0	L6b Rprm	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
63.0	L6 CT Nxph2 Pou3f2_2	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
13.0	Vip Igfbp6	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
4.0	Lamp5 Pdlim5_2	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
77.0	VLMC Kcnj8	VLMC	Non-Neuronal	ILX:0770143	CL:0000708	leptomeningeal cell
3.0	Lamp5 Pdlim5_1	Lamp5	GABAergic	ILX:0770149	CL:0000617	GABAergic neuron
59.0	L6 CT Gpr139	L6 CT	Glutamatergic	ILX:0770162	CL:0000679	glutamatergic neuron
17.0	Vip Lypd1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
29.0	Sst Calb2	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
35.0	Sst Pvalb Etv1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
76.0	Endo Slc38a5_1	Endo	Non-Neuronal	ILX:0770142	CL:0000115	endothelial cell
30.0	Sst C1ql3_1	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
55.0	L5 NP Slc17a8_3	L5/6 NP	Glutamatergic	ILX:0770161	CL:0000679	glutamatergic neuron
8.0	Vip Col14a1	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
51.0	L5 ET_2	L5 ET	Glutamatergic	ILX:0770160	CL:0000679	glutamatergic neuron
28.0	Sst Hpse_3	Sst	GABAergic	ILX:0770152	CL:0000617	GABAergic neuron
49.0	L6 IT Car3	L6 IT Car3	Glutamatergic	ILX:0770159	CL:0000679	glutamatergic neuron
78.0	SMC	SMC	Non-Neuronal	ILX:0770144	CL:0000192	smooth muscle cell
9.0	Sncg_2	Sncg	GABAergic	ILX:0770150	CL:0000617	GABAergic neuron
18.0	Vip Cbln4_1	Vip	GABAergic	ILX:0770151	CL:0000617	GABAergic neuron
66.0	L6b Shisa6	L6b	Glutamatergic	ILX:0770163	CL:0000679	glutamatergic neuron
