temp_class_label	BICCN_subclass_label	ontology_term_id	ontology_term_name	final
GABAergicLamp5	Lamp5	CL:0000617	GABAergic neuron	True
GABAergicProg/IP	Prog/IP	CL:0000617	GABAergic neuron	True
GABAergicPvalb	Pvalb	CL:0000617	GABAergic neuron	True
GABAergicSncg	Sncg	CL:0000617	GABAergic neuron	True
GABAergicSst	Sst	CL:0000617	GABAergic neuron	True
GABAergicVip	Vip	CL:0000617	GABAergic neuron	True
GlutamatergicCR	CR	CL:0000679	glutamatergic neuron	True
GlutamatergicL2/3 IT	L2/3 IT	CL:0000679	glutamatergic neuron	True
GlutamatergicL5 ET	L5 ET	CL:0000679	glutamatergic neuron	True
GlutamatergicL5 IT	L5 IT	CL:0000679	glutamatergic neuron	True
GlutamatergicL5/6 NP	L5/6 NP	CL:0000679	glutamatergic neuron	True
GlutamatergicL6 CT	L6 CT	CL:0000679	glutamatergic neuron	True
GlutamatergicL6 IT	L6 IT	CL:0000679	glutamatergic neuron	True
GlutamatergicL6 IT Car3	L6 IT Car3	CL:0000679	glutamatergic neuron	True
GlutamatergicL6b	L6b	CL:0000679	glutamatergic neuron	True
Non-NeuronalAstro	Astro	CL:0000127	astrocyte	True
Non-NeuronalEndo	Endo	CL:0000115	endothelial cell	True
Non-NeuronalMacrophage	Macrophage	CL:0000235	macrophage	True
Non-NeuronalMicro	Micro	CL:0000129	microgial cell	True
Non-NeuronalOPC	OPC	CL:0002453	oligodendrocyte precursor cell	True
Non-NeuronalOligo	Oligo	CL:0000128	oligodendrocyte	True
Non-NeuronalPeri	Peri	CL:0000669	pericyte cell	True
Non-NeuronalProg/IP	Prog/IP	prog	prog	True
Non-NeuronalSMC	SMC	CL:0000192	smooth muscle cell	True
Non-NeuronalVLMC	VLMC	CL:0000708	leptomeningeal cel	True
