subclass	subclass_lookup_name	ontology_term_id	ontology_term_name	final
Astrocytes	Astrocytes	CL:0000127		True
Endothelial	Endothelial	CL:0000115		True
L23_IT	L23_IT	CL:0000679		True
L45_IT	L45_IT	CL:0000679		True
L56_NP	L56_NP	CL:0000679		True
L5_IT	L5_IT	CL:0000679		True
L5_PT	L5_PT	CL:0000679		True
L6_CT	L6_CT	CL:0000679		True
L6_IT	L6_IT	CL:0000679		True
L6_IT_Car3	L6_IT_Car3	CL:0000679		True
L6b	L6b	CL:0000679		True
Lamp5	Lamp5	CL:0000617		True
Microglia	Microglia	CL:0000129		True
OPC	OPC	CL:0000115		True
Oligodendrocytes	Oligodendrocytes	CL:0000128		True
PVM	PVM	CL:0000129		True
Pericytes	Pericytes	CL:0000669		True
Pvalb	Pvalb	CL:0000617		True
SMC	SMC	CL:0000192		True
Sncg	Sncg	CL:0000617		True
Sst	Sst	CL:0000617		True
Sst_Chodl	Sst_Chodl	CL:0000617		True
VLMC	VLMC	CL:0000708		True
Vip	Vip	CL:0000617		True
