Abbreviation	Description
ACA	Anterior cingulate area
ACAd	Anterior cingulate area (dorsal)
ACB	Nucleus accumbens
AI	Agranular insular area
AOB	Accessory olfactory bulb
AON	Anterior olifactory nucleus
BST	Bed nuclei of the stria terminalis
CA	Cornu ammonis field 1-3
CA3	Cornu ammonis field 3
CLA	Claustrum
CP	Caudoputamen
DG	Dentate gyrus
DP	Dorsal peduncular area
EPd	Endopiriform nucleus (dorsal)
Epv	Endopiriform nucleus (ventral)
FC	Fasciola cinerea
FRP	Frontal pole, cerebral cortex
GU	Gustatory areas
IG	Induseum griseum
ILA	Infralimbic cortex
LSX	Lateral septal complex
MA	Magnocellular nucleus
MOB	Main olifactory bulb
MOp	Primary motor area
MOs	Secondary motor area
MS	Medial septal nucleus
MSC	Medial septal complex
NDB	Diagonal band nucleus
ORB	Orbital area
ORBl	Orbital area (lateral)
ORBm	Orbital area (medial)
OT	Olfactory tubercle
PAL	Pallidum
PIR	Piriform area
PL	Prelimbic area
PAA	Piriform-amygdalar area
ProS	Prosubiculum
RSPagl	Retrosplenial area (lateral, agranular)
SF	Septofimbrial nucleus
SI	Substantia innominata
SSp	Primary somatosensory area
SSs	Secondary somatosensory area
SUB	Subiculum
TT	Taenia tecta
TTd	Taenia tecta(dorsal)
TTv	Taenia tecta (ventral)
VISa	Anterior visual area
VISC	Visceral area
HPF	Hippocampal Formation
CNU	Cerebral nuclei
