cell_ontology_class	cell_ontology_classlookup_name	ontology_term_id	ontology_term_name	final	type
B cell	b cell	CL:0000236	B cell	True	cell_type
Bergmann glial cell	bergmann glial cell	CL:0000644	Bergmann glial cell	True	cell_type
Brush cell of epithelium proper of large intestine	brush cell of epithelium proper of large intestine	CL:0002203	brush cell of epithelium proper of large intestine	True	cell_type
CD4-positive, alpha-beta T cell	cd4-positive, alpha-beta t cell	CL:0000624	CD4-positive, alpha-beta T cell	True	cell_type
CD8-positive, alpha-beta T cell	cd8-positive, alpha-beta t cell	CL:0000625	CD8-positive, alpha-beta T cell	True	cell_type
DN3 thymocyte	dn3 thymocyte	CL:0000807	DN3 thymocyte	True	cell_type
DN4 thymocyte	dn4 thymocyte	CL:0000808	DN4 thymocyte	True	cell_type
Kupffer cell	kupffer cell	CL:0000091	Kupffer cell	True	cell_type
Langerhans cell	langerhans cell	CL:0000453	Langerhans cell	True	cell_type
NK cell	nk cell	CL:0000623	natural killer cell	True	cell_type
Schwann cell	schwann cell	CL:0002573	Schwann cell	True	cell_type
T cell	t cell	CL:0000084	T cell	True	cell_type
adventitial cell	adventitial cell	CL:0002503	adventitial cell	True	cell_type
alveolar macrophage	alveolar macrophage	CL:0000583	alveolar macrophage	True	cell_type
aortic endothelial cell	aortic endothelial cell	CL:0002544	aortic endothelial cell	True	cell_type
astrocyte	astrocyte	CL:0000127	astrocyte	True	cell_type
atrial myocyte	atrial myocyte	CL:0002129	regular atrial cardiac myocyte	True	cell_type
basal cell	basal cell	CL:0000646	basal cell	True	cell_type
basal cell of epidermis	basal cell of epidermis	CL:0002187	basal cell of epidermis	True	cell_type
basal epithelial cell of tracheobronchial tree	basal epithelial cell of tracheobronchial tree	CL:0002329	basal epithelial cell of tracheobronchial tree	True	cell_type
basophil	basophil	CL:0000767	basophil	True	cell_type
bladder cell	bladder cell	CL:1001319	bladder cell	True	cell_type
bladder urothelial cell	bladder urothelial cell	CL:1001428	bladder urothelial cell	True	cell_type
blood cell	blood cell	CL:0000081	blood cell	True	cell_type
brain pericyte	brain pericyte	CL:2000043	brain pericyte	True	cell_type
bronchial smooth muscle cell	bronchial smooth muscle cell	CL:0002598	bronchial smooth muscle cell	True	cell_type
brush cell	brush cell	CL:0002204	brush cell	True	cell_type
bulge keratinocyte	bulge keratinocyte	CL:0002337	keratinocyte stem cell	True	cell_type
cardiac neuron	cardiac neuron	CL:0010022	cardiac neuron	True	cell_type
cardiomyocyte	cardiomyocyte	CL:0000746	cardiac muscle cell	True	cell_type
chondrocyte	chondrocyte	CL:0000138	chondrocyte	True	cell_type
ciliated columnar cell of tracheobronchial tree	ciliated columnar cell of tracheobronchial tree	CL:0002145	ciliated columnar cell of tracheobronchial tree	True	cell_type
classical monocyte	classical monocyte	CL:0000860	classical monocyte	True	cell_type
club cell of bronchiole	club cell of bronchiole	CL:0000158	club cell	True	cell_type
dendritic cell	dendritic cell	CL:0000451	dendritic cell	True	cell_type
double negative T cell	double negative t cell	CL:0002489	double negative thymocyte	True	cell_type
duct epithelial cell	duct epithelial cell	CL:0000068	duct epithelial cell	True	cell_type
early pro-B cell	early pro-b cell	CL:0002046	early pro-B cell	True	cell_type
endocardial cell	endocardial cell	CL:0002350	endocardial cell	True	cell_type
endothelial cell	endothelial cell	CL:0000115	endothelial cell	True	cell_type
endothelial cell of coronary artery	endothelial cell of coronary artery	CL:2000018	endothelial cell of coronary artery	True	cell_type
endothelial cell of hepatic sinusoid	endothelial cell of hepatic sinusoid	CL:1000398	endothelial cell of hepatic sinusoid	True	cell_type
endothelial cell of lymphatic vessel	endothelial cell of lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	True	cell_type
