,cell_ontology_class,cell_ontology_id,tissue,free_annotation,id,term,other_ids,other_terms
32,B cell,CL:0000236,Limb_Muscle,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
33,Bergmann glial cell,CL:0000127,Brain_Non-Myeloid,,CL:0000644,Bergmann glial cell,,
34,Bergmann glial cell,CL:0000644,Brain_Non-Myeloid,,CL:0000644,Bergmann glial cell,,
35,Bergmann glial cell,,Brain_Non-Myeloid,,CL:0000644,Bergmann glial cell,,
36,Brush cell of epithelium proper of large intestine,CL:0002253,Large_Intestine,,CL:0002203,brush cell of epithelium proper of large intestine,,
37,Brush cell of epithelium proper of large intestine,,Large_Intestine,,CL:0002203,brush cell of epithelium proper of large intestine,,
38,Brush cell of epithelium proper of large intestine,CL:0002203,Large_Intestine,,CL:0002203,brush cell of epithelium proper of large intestine,,
39,"CD4-positive, alpha-beta T cell",CL:0000084,Spleen,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
40,"CD4-positive, alpha-beta T cell",CL:0000815,Marrow,BM CD4 T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
41,"CD4-positive, alpha-beta T cell",CL:0000788,Marrow,BM CD4 T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
42,"CD4-positive, alpha-beta T cell",,GAT,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
43,"CD4-positive, alpha-beta T cell",CL:0000816,Marrow,BM CD4 T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
44,"CD4-positive, alpha-beta T cell",CL:0000084,Spleen,Cd3e T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
45,"CD4-positive, alpha-beta T cell",CL:0000623,SCAT,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
46,"CD4-positive, alpha-beta T cell",,SCAT,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
47,"CD4-positive, alpha-beta T cell",CL:0000236,Spleen,Cd3e T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
48,"CD4-positive, alpha-beta T cell",CL:0002420,Marrow,BM CD4 T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
49,"CD4-positive, alpha-beta T cell",,Liver,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
50,"CD4-positive, alpha-beta T cell",CL:0000084,Lung,CD4+ T,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
51,"CD4-positive, alpha-beta T cell",CL:0000084,MAT,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
52,"CD4-positive, alpha-beta T cell",CL:0000084,GAT,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
53,"CD4-positive, alpha-beta T cell",,MAT,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
54,"CD4-positive, alpha-beta T cell",CL:0000084,SCAT,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
55,"CD4-positive, alpha-beta T cell",,Lung,CD4+ T,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
56,"CD4-positive, alpha-beta T cell",CL:0000623,Liver,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
57,"CD4-positive, alpha-beta T cell",,Marrow,BM CD4 T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
58,"CD4-positive, alpha-beta T cell",CL:0000236,Marrow,BM CD4 T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
59,"CD4-positive, alpha-beta T cell",,Spleen,,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
60,"CD4-positive, alpha-beta T cell",,Spleen,Cd3e T cell,CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000810;CL:0000934;CL:0000897;CL:0000793;CL:0001204;CL:0000792,"CD4-positive, alpha-beta thymocyte;CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta intraepithelial T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;CD4-positive, CD25-positive, alpha-beta regulatory T cell"
61,"CD8-positive, alpha-beta T cell",CL:0000084,MAT,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
62,"CD8-positive, alpha-beta T cell",CL:0000084,Lung,CD8+ T,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
63,"CD8-positive, alpha-beta T cell",CL:0000084,SCAT,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
64,"CD8-positive, alpha-beta T cell",CL:0000763,Lung,CD8+ T,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
65,"CD8-positive, alpha-beta T cell",,MAT,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
66,"CD8-positive, alpha-beta T cell",,GAT,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
67,"CD8-positive, alpha-beta T cell",,SCAT,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
68,"CD8-positive, alpha-beta T cell",,Liver,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
69,"CD8-positive, alpha-beta T cell",CL:0000084,GAT,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
70,"CD8-positive, alpha-beta T cell",CL:0000236,Spleen,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
71,"CD8-positive, alpha-beta T cell",CL:0000084,Spleen,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
72,"CD8-positive, alpha-beta T cell",CL:0000084,Spleen,Cd3e T cell,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
73,"CD8-positive, alpha-beta T cell",CL:0000623,Lung,CD8+ T,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
74,"CD8-positive, alpha-beta T cell",,Spleen,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
75,"CD8-positive, alpha-beta T cell",CL:0000128,Brain_Non-Myeloid,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
76,"CD8-positive, alpha-beta T cell",,Lung,CD8+ T,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
77,"CD8-positive, alpha-beta T cell",,Spleen,Cd3e T cell,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
78,"CD8-positive, alpha-beta T cell",CL:0000623,SCAT,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
