,cell_ontology_class,cell_ontology_id,tissue,free_annotation,id,term,other_ids,other_terms
0,B cell,CL:0000236,Spleen,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
1,B cell,,Spleen,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
2,B cell,,Liver,B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
3,B cell,CL:0000236,SCAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
4,B cell,CL:0000236,MAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
5,B cell,CL:0000084,SCAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
6,B cell,,Lung,B,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
7,B cell,,Lung,B Cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
8,B cell,CL:0000084,Spleen,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
9,B cell,,Limb_Muscle,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
10,B cell,,Diaphragm,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
11,B cell,CL:0000738,Heart,B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
12,B cell,CL:0000763,SCAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
13,B cell,CL:0000236,Liver,B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
14,B cell,,SCAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
15,B cell,,MAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
16,B cell,CL:0000236,Lung,B,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
17,B cell,CL:0000738,Kidney,B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
18,B cell,,GAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
19,B cell,CL:0000236,GAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
20,B cell,,BAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
21,B cell,CL:0000623,SCAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
22,B cell,CL:0000236,Lung,Zbtb32+ B,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
23,B cell,CL:0000084,MAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
24,B cell,CL:0000236,Spleen,CD79a B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
25,B cell,,Spleen,CD79a B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
26,B cell,,Heart,B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
27,B cell,,Kidney,B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
28,B cell,,Lung,Zbtb32+ B,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
29,B cell,CL:0000542,Diaphragm,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
30,B cell,CL:0000236,BAT,,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
31,B cell,CL:0000115,Heart,B cell,CL:0000236,B cell,CL:0001201,"B cell, CD19-positive"
