original_columns	original_values	BICCN_ontology_term_id	ontology_label	project_name	doi
subclass	Astro	ILX:0770141	Astrocyte (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	CR	CR	CR	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Endo	ILX:0770142	Endothelial cell (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	L2/3 IT	ILX:0770156	L2/3 IT (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	L4	L4	L4	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	L5 IT	ILX:0770157	L5 IT neuron (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	L5 PT	L5 PT	L5 PT	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	L6 CT	ILX:0770162	L6 CT neuron (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	L6 IT	ILX:0770158	L6 IT (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	L6b	ILX:0770163	L6b neuron (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Lamp5	ILX:0770149	Lamp5 neuron (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Macrophage	Macrophage	Macrophage	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Meis2	ILX:0770155	Meis2 neuron (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	NP	NP	NP	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	No Class	unknown	unknown	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Oligo	ILX:0770140	Oligodendrocyte	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Peri	ILX:0770145	Pericyte (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Pvalb	ILX:0770154	Pvalb neuron (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	SMC	ILX:0770144	Smooth muscle cell (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Serpinf1	Serpinf1	Serpinf1	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Sncg	ILX:0770150	Sncg (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Sst	ILX:0770152	Sst neuron (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	VLMC	ILX:0770143	Vascular leptomeningeal cell (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
subclass	Vip	ILX:0770151	Vip GABAergic neuron (BICCN)	tassic_2018	https://doi.org/10.1038/s41586-018-0654-5
