cell_type	cell_type	cell_type	cell_type	final
CL_0000099	CL_0000099	CL_0000099	CL_0000099	True
CL_0000498	CL_0000498	CL_0000498	CL_0000498	True
CL_0000121	CL_0000121	CL_0000121	CL_0000121	True
CL_0000065	CL_0000065	CL_0000065	CL_0000065	True
CL_0000644	CL_0000644	CL_0000644	CL_0000644	True
CL_0002603	CL_0002603	CL_0002603	CL_0002603	True
CL_0000128	CL_0000128	CL_0000128	CL_0000128	True
CL_0002453	CL_0002453	CL_0002453	CL_0002453	True
CL_0000119	CL_0000119	CL_0000119	CL_0000119	True
CL_0008030	CL_0008030	CL_0008030	CL_0008030	True
CL_0000235	CL_0000235	CL_0000235	CL_0000235	True
CL_0000129	CL_0000129	CL_0000129	CL_0000129	True
CL_0000057	CL_0000057	CL_0000057	CL_0000057	True
CL_0000115	CL_0000115	CL_0000115	CL_0000115	True
CL_0002671	CL_0002671	CL_0002671	CL_0002671	True
CL_0001031	CL_0001031	CL_0001031	CL_0001031	True
