original_columns	original_values	BICCN_ontology_term_id	ontology_label	project_name	doi
cell_type__custom@cell_type__ontology_label	Bergmann glial cell@Bergmann glial cell	Bergmann glial cell		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Choroid@ependymal cell	Choroid		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Endothelial mural@endothelial cell	ILX:0770142	Endothelial cell (BICCN)	kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Molecular layer interneuron 1 (MLI1)@inhibitory interneuron	Molecular layer interneuron 1 (MLI1)		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Molecular layer interneuron 2 (MLI2)@interneuron	Molecular layer interneuron 2 (MLI2)		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Purkinje cell@Purkinje cell	Purkinje cell		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Purkinje layer interneuron (PLI)@interneuron	Purkinje layer interneuron (PLI)		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Unipolar brush cell (UBC)@excitatory neuron	Unipolar brush cell (UBC)		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	astrocyte of the cerebellum@astrocyte of the cerebellum	ILX:0770141	Astrocyte (BICCN)	kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	cerebellar Golgi cell@cerebellar Golgi cell	cerebellar Golgi cell		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	cerebellar granule cell@cerebellar granule cell	cerebellar granule cell		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	endothelial stalk cell@endothelial stalk cell	ILX:0770142	Endothelial cell (BICCN)	kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	ependymal cell@ependymal cell	ependymal cell		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	fibroblast@fibroblast	fibroblast		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	macrophage@macrophage	macrophage		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	microglial cell@microglial cell	ILX:0770146	Microglia (BICCN)	kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	oligodendrocyte@oligodendrocyte	ILX:0770140	Oligodendrocyte (BICCN)	kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	oligodendrocyte precursor cell@oligodendrocyte precursor cell	ILX:0770139	Oligodendrocyte progenitor cell (BICCN)	kozareva	https://doi.org/10.1101/2020.03.04.976407
